Name,Price,Rating,Review Count,City,Country,Latitude,Longitude,Categories
Tenerias,$$,3.5,15,Monterrey,MX,25.6705825920916,-100.305576882989,"['bars', 'mexican']"
Los Magueyes,$,5.0,1,Sanitycity,MX,25.6837054217404,-100.253553571773,"['tacos', 'bbq']"
Garufa,$$$,4.0,3,Monterrey,MX,25.7192383,-100.3518753,['argentine']
Taqueria Juarez,$$,4.0,28,Monterrey,MX,25.676277,-100.312166,['mexican']
Hare Krishna Monterrey,$$,4.0,8,Monterrey,MX,25.665673199663,-100.307422462405,"['vegetarian', 'indpak']"
Indio Azteca,$$,4.5,4,Monterrey,MX,25.683149,-100.303585,['mexican']
Tito's,$$,4.5,3,Monterrey,MX,25.647714,-100.291097,"['chicken_wings', 'mexican']"
El Paisa de Tampico,$,5.0,5,Monterrey,MX,25.6705474546985,-100.321137942374,['mexican']
Sisu,$$$,5.0,1,San Pedro Garza García,MX,25.6598532376231,-100.416311569157,['panasian']
Cien 28,$$$,4.5,5,Monterrey,MX,25.6596593310739,-100.416489691758,"['comfortfood', 'mexican']"
La Bottega d'Italia,$$,4.5,4,San Pedro Garza García,MX,25.6645252727388,-100.401484333455,"['pizza', 'italian']"
Ribite Burgers,$$,4.0,1,Zona Valle Poniente,MX,25.6580675175211,-100.439365918179,['burgers']
La Barda,$,4.0,3,Santa Catarina,MX,25.6599753699676,-100.416283272207,['mexican']
Pollo Raul,$$,4.0,1,Santa Catarina,MX,25.6813793,-100.4847946,"['rotisserie_chicken', 'mexican']"
Torino's Pizza,$,3.0,2,Balcones de Santa Catarina,MX,25.6741753,-100.4528427,['pizza']
Casagrande,$$,4.0,18,Nuevo León,MX,25.653814,-100.381892,['northernmexican']
Los Curricanes,$$$,4.0,5,San Pedro Garza García,MX,25.6574126858042,-100.389251022677,"['seafood', 'mexican']"
Oriental Wok,$,4.0,1,Santa Catarina,MX,25.6768052253796,-100.44901996851,"['chinese', 'japanese', 'asianfusion']"
Chef Oriental,$,4.5,2,Monterrey,MX,25.7170319014562,-100.38339768453,['chinese']
Las Naciones,$$,4.0,4,Monterrey,MX,25.6554241,-100.4098076,"['baguettes', 'delis', 'soup']"
Buongusto,$$,2.5,2,Monterrey,MX,25.7402496,-100.4076996,['italian']
Las Alitas,$$,2.5,4,Industrias del Poniente,MX,25.6893177,-100.4990082,['burgers']
Choice Grill House,$$$,4.0,3,San Pedro Garza García,MX,25.6349738,-100.3636592,"['seafood', 'steak']"
Crêpe de Paris,$$,4.5,6,Residencial Chipinque,MX,25.6485870334554,-100.360511219996,"['creperies', 'french']"
Crêpe de Paris,$$,4.5,28,Monterrey,MX,25.6867043,-100.3762619,['french']
Bife Ancho,$$$,3.5,5,Zona Residencial Chipinque,MX,25.638715394322,-100.361497896332,"['steak', 'argentine']"
Rotonda 102,$$$,2.5,11,San Pedro Garza García,MX,25.6566991819514,-100.371247119959,['steak']
The Food Box,$$,3.5,30,Monterrey,MX,25.653694,-100.349235,"['burgers', 'tradamerican']"
Seis Chiles,$,2.5,9,Monterrey,MX,25.6655388354801,-100.407904340475,['mexican']
Pan Benell,$$,4.0,4,San Pedro Garza García,MX,25.6509792,-100.3827055,['breakfast_brunch']
La Divina Linda Vista,$,4.0,3,Guadalupe,MX,25.6894108499513,-100.256210141147,"['divebars', 'northernmexican']"
La Nacional,$$$,4.0,6,Monterrey,MX,25.682615,-100.302961,['northernmexican']
Olive Garden,$$,3.0,6,Monterrey,MX,25.6526404433479,-100.274853161941,['italian']
El Siciliano,$$$,4.5,5,Monterrey,MX,25.6665,-100.308,['italian']
La Galería Café,$$,4.0,7,Monterrey,MX,25.6664298702324,-100.307493406746,"['bars', 'italian']"
El Pollo Pepe,$$,4.0,1,El Milagro,MX,25.7523626262163,-100.198040414915,['rotisserie_chicken']
El Rincon del Taco,$$,4.0,1,Monterrey,MX,25.693057,-100.190375,['restaurants']
La Cocina de Mi Abuela,$,4.0,1,Monterrey,MX,25.7635207511153,-100.414160974324,"['diners', 'hotdogs', 'mexican']"
Tamales Salinas,$,4.5,10,Monterrey,MX,25.7771626,-100.3778305,['tamales']
El Papalote Taco & Grill,$$,3.5,17,Monterrey,MX,25.715573,-100.382531,['restaurants']
La Artesanal,$$$,4.0,4,Monterrey,MX,25.5799785575264,-100.246313599174,['mexican']
Asador las Diligencias,$,5.0,1,Monterrey,MX,25.6772110768313,-100.322697877151,['restaurants']
El Compirri,$,4.0,1,Lomas de Tolteca,MX,25.6616033700933,-100.238424316049,"['foodtrucks', 'burgers']"
Tacos el Güero,$$,4.0,5,Monterrey,MX,25.6906676052103,-100.250899940729,['tacos']
Cafeterias Tok's,$$,5.0,2,Rincón del Contry,MX,25.6619341016706,-100.260615409262,"['cafeteria', 'mexican']"
Teo Burger,$,3.5,2,Guadalupe,MX,25.6766538388906,-100.257411003113,['burgers']
Modenese,$$$$,4.0,13,San Pedro Garza García,MX,25.6580794,-100.3534799,['italian']
El Castor,$$$,4.0,16,Monterrey,MX,25.6956485436057,-100.351632128024,['northernmexican']
Restaurante el Mirador,$$$,4.0,14,Monterrey,MX,25.667791,-100.332909,['restaurants']
Chiapas De Mis Amores,$,4.0,2,San Nicolás de los Garza,MX,25.7441460892128,-100.290007763297,['mexican']
El Capi,$,4.0,1,San Nicolás de los Garza,MX,25.7088112828991,-100.263143656964,['seafood']
Sierra Madre Brewing Co.,$$,3.0,7,Valles de Linda Vista,MX,25.6928597264223,-100.241719804973,"['mexican', 'breweries']"
La Pasadita,$$,4.0,2,Residencial Azteca,MX,25.6832602751131,-100.230613388121,['bbq']
Restaurante Rubio,$,4.0,7,Monterrey,MX,25.6828378657564,-100.281798653305,['mexican']
Los Generales,$$,2.5,6,Guadalupe,MX,25.6939982760462,-100.241076685488,['buffets']
Lijiang,$$,5.0,2,Monterrey,MX,25.6498909,-100.2944412,['japanese']
Tacos Popo's,$,4.5,6,Anáhuac,MX,25.7422408543649,-100.312093533576,['tacos']
Carl's Jr.,$,3.0,2,Rincón de Guadalupe,MX,25.6524422180193,-100.185868106782,['tradamerican']
Las Aliadas,$$,4.0,8,Monterrey,MX,25.6425248893312,-100.27700616676,"['salad', 'burgers']"
La Romanita,$$$,4.0,3,Alfonso Reyes,MX,25.6435117431361,-100.27667479482,['italian']
Davila's House,$$,3.0,5,San Nicolás de Los Garza,MX,25.7302945514265,-100.302662216127,['mexican']
Street Burger,$$,3.5,3,Monterrey,MX,25.7363091,-100.3999634,['burgers']
El Güero,$,3.5,8,Monterrey,MX,25.739868,-100.406661,['tacos']
Los Tacos Peña,$,4.0,5,Monterrey,MX,25.7211961,-100.3890923,['tacos']
Tortas Bernal,$,3.5,17,Monterrey,MX,25.739383,-100.406016,['delis']
Toks,$$,4.0,3,Monterrey,MX,25.7317586173648,-100.396322672186,"['cafeteria', 'breakfast_brunch']"
Oriental Wok,$$,3.5,4,Monterrey,MX,25.7332249,-100.3976364,"['japanese', 'chinese', 'asianfusion']"
Buffalo Wild Wings,$$,4.5,2,Monterrey,MX,25.6972091016024,-100.353869845367,['chicken_wings']
Ciao Italia,$$,4.5,7,Monterrey,MX,25.6942851202634,-100.357893882154,"['pizza', 'italian']"
McDonald's,$$,5.0,1,Guadalupe,MX,25.6560090854429,-100.183020941913,"['hotdogs', 'burgers']"
Sushi Itto,$$,4.0,4,Monterrey,MX,25.6326810741849,-100.281137488782,['japanese']
Kasumi,$$$,3.5,7,Monterrey,MX,25.6377584330736,-100.316561678877,['japanese']
Rancho Viejo,$$,3.5,2,Monterrey,MX,25.6348555,-100.283171,"['seafood', 'steak']"
Gorditas Doña Tota,$,3.0,1,Roble Santa María,MX,25.6570952633372,-100.18386952579,['northernmexican']
KOTO Sushi Bar,$$,5.0,1,Adolfo Prieto,MX,25.69837,-100.2548828,['japanese']
Teo Burger,$,5.0,2,Paraíso,MX,25.6781597,-100.2694016,['burgers']
Napoli,$$,4.0,17,Monterrey,MX,25.6931333,-100.3779109,"['italian', 'pizza']"
Tacos del Caballo,$,5.0,4,Monterrey,MX,25.7198391,-100.387413,['tacos']
Ahogaditas Tapatío,$,5.0,2,Monterrey,MX,25.681879,-100.3607864,['jaliscan']
Tacos del Chavo,$,4.0,1,Monterrey,MX,25.6861382264377,-100.334450501009,['tacos']
Comidas Irene,$,2.0,1,Escobedo,MX,25.8217392,-100.2949982,['mexican']
Noreste Grill,$$,2.5,2,Monterrey,MX,25.576882896221,-100.24591913518,"['steak', 'mexican']"
Kampai 401,$$$,4.5,16,San Pedro Garza García,MX,25.6554127512987,-100.361850259947,['japanese']
P.F Chang's,$$$,3.0,6,Monterrey,MX,25.653397936131,-100.274892497842,['panasian']
Giulia,$$,3.0,2,Monterrey,MX,25.653258236752,-100.29399096966,"['pizza', 'italian']"
Pollos 2x130,$,4.0,2,Monterrey,MX,25.6403468765569,-100.305926822638,"['streetvendors', 'rotisserie_chicken']"
Chorlitos,$$,5.0,1,Ampliación Valle del Mirador,MX,25.6409569,-100.3157959,['mexican']
Quepacho,$,5.0,5,Monterrey,MX,25.642312,-100.2909605,['tacos']
La Jarochita,$$,3.5,2,Tecnológico,MX,25.6486833628341,-100.296176951373,['mexican']
Le Bistro,$$$,4.5,14,San Pedro Garza García,MX,25.6452883693985,-100.355593009979,['bistros']
Oriental Grill,$$,4.5,14,San Pedro Garza García,MX,25.628119,-100.364326,['chinese']
Guacamaya Restaurant,$$$$,4.5,6,Monterrey,MX,25.6503198339321,-100.357584501358,['mexican']
El Granero Grill,$$$,4.0,18,San Pedro Garza García,MX,25.6553860124752,-100.3622935969,['restaurants']
Burger Station,$$,4.0,11,San Pedro Garza García,MX,25.6351532727969,-100.363661392014,"['tradamerican', 'burgers']"
Kikua,$$,5.0,1,Centro,MX,25.6697809784967,-100.323381189595,[]
Backroom,$$,1.0,1,Monterrey,MX,25.7125584,-100.3423251,['gastropubs']
Bece,$$$$,4.0,4,San Pedro Garza García,MX,25.6584043907102,-100.360124048881,['seafood']
Mr Brown,$$,4.0,9,Monterrey,MX,25.6402254543053,-100.286084642188,['burgers']
Muelle de al Lado,$$,4.0,23,San Pedro Garza García,MX,25.6553613192488,-100.361250563951,['seafood']
Mr. Pampas,$$$,4.5,24,Zona del Valle,MX,25.653649667583,-100.359555082335,['brazilian']
Hanaichi,$$$$,4.0,3,Monterrey,MX,25.6511044385956,-100.367584541156,"['sushi', 'japanese']"
El 32,$$,4.0,1,San Pedro Garza Garcia,MX,25.6603700846536,-100.416513770392,"['breakfast_brunch', 'tradamerican', 'mexican']"
Nikkori San Jerónimo,$$$,4.5,4,Monterrey,MX,25.6737194524775,-100.366381316231,"['sushi', 'japanese']"
Void Food Truck,$,5.0,2,Monterrey,MX,25.6535738425931,-100.290091781106,"['foodtrucks', 'italian']"
Little Caesars Pizza,$$,4.0,6,San Nicolás de Los Garza,MX,25.7236179312522,-100.226838178933,['pizza']
Estación JC,$,3.5,6,Contry Sol,MX,25.6507747787187,-100.266070950659,['mexican']
Malecon Habana,$,5.0,1,Monterrey,MX,25.67028,-100.30549,"['bars', 'cuban']"
San Carlos,$$$,4.0,13,Nuevo León,MX,25.6670154721219,-100.341523066163,['mexican']
VeganMunch,$,4.0,1,Monterrey,MX,25.681152,-100.3260738,"['burgers', 'vegetarian', 'mexican']"
Panem Bakery & Bistro,$$,3.0,10,San Pedro Garza García,MX,25.6599094959451,-100.416572624647,['bakeries']
Amadeus Restaurant,$$$,4.0,10,San Pedro Garza García,MX,25.6568158461104,-100.367423299803,"['italian', 'latin', 'french']"
La Cafet' Centrito SP,$,5.0,1,San Pedro Garza García,MX,25.659581632383,-100.365911051999,"['bakeries', 'cafeteria']"
Yokot´an,$$,4.0,4,San Pedro Garza Garcia,MX,25.658067,-100.368201,"['mexican', 'cafeteria']"
Los Generales,$$,3.0,2,San Nicolás de los Garza,MX,25.7448972372538,-100.311847776175,['mexican']
El Rey del Taco,$$,4.5,4,Centro,MX,25.678123823582,-100.330987821826,['mexican']
El Lindero,$$,3.5,10,Monterrey,MX,25.6707172136706,-100.337646192843,['mexican']
Neuquén,$$$,3.5,28,Monterrey,MX,25.669824,-100.308286,"['argentine', 'pizza']"
Ikkyu,$$$,4.0,5,Zona Valle del Mezquite,MX,25.6561683281884,-100.387248985358,"['ramen', 'teppanyaki', 'izakaya']"
Boquiaches,$,4.5,10,Monterrey,MX,25.6377857447909,-100.316224751767,['breakfast_brunch']
La Gran Muralla Express,$$,4.5,5,Monterrey,MX,25.635677935671,-100.313750679507,['chinese']
Los Generales,$$,3.5,8,Monterrey,MX,25.6622138003382,-100.283692171469,['buffets']
Costeñito,$$,3.0,2,Escobedo,MX,25.76918,-100.28152,['seafood']
Taller Vegánico,$$,4.5,22,Tampiquito,MX,25.6506145802794,-100.382939509333,['vegan']
Pescaderias Martinez Tijerina,$$,4.5,15,Monterrey,MX,25.7065104366642,-100.370944833534,['seafood']
China & out,$,5.0,1,San Pedro Garza García,MX,25.6559094896348,-100.387060704597,['chinese']
Los Bainas,$,5.0,1,Monterrey,MX,25.6268997,-100.2988586,['tacos']
Tacos Mañaneros Cabañas,$,5.0,1,Monterrey,MX,25.6270301137593,-100.298841074109,"['breakfast_brunch', 'tacos']"
El Reten,$,4.0,1,Monterrey,MX,25.624787,-100.29949,['burgers']
Horno 400,$$,4.0,11,Monterrey,MX,25.6550844816518,-100.293171232932,"['pizza', 'italian']"
Brugge,$$,3.0,3,Monterrey,MX,25.6532385683179,-100.274638113244,"['creperies', 'desserts']"
Nikkori,$$,4.0,2,Nuevo León,MX,25.6897470385987,-100.257312946896,['japanese']
Vegetarian,$$$,4.5,12,Monterrey,MX,25.6559737,-100.3871738,['vegetarian']
Saki,$$,4.5,3,San Pedro Garza García,MX,25.6589719453971,-100.390793946802,"['sushi', 'japanese']"
Manhattan's,$$,3.5,14,Monterrey,MX,25.6488705,-100.2857666,"['tradamerican', 'burgers']"
Di Massimo,$$,4.5,5,Monterrey,MX,25.6507859473265,-100.292791290546,['italian']
La Playita,$$,3.5,8,Monterrey,MX,25.6964413661687,-100.343058797051,['seafood']
Shiva Station,$,4.0,4,Monterrey,MX,25.6983795,-100.3407516,"['vegetarian', 'vegan']"
Denny's,$$,3.5,2,Apodaca  Nl,MX,25.7843443992706,-100.120306140234,"['diners', 'breakfast_brunch', 'tradamerican']"
Fu-Ten,$$,5.0,3,San Pedro Garza García,MX,25.6385682209827,-100.360895233833,['ramen']
China House,$$,4.0,6,Monterrey,MX,25.6909455,-100.3447493,['chinese']
Le Clair,$$$,3.0,4,Monterrey,MX,25.6908,-100.354,['restaurants']
